email,filial_id,reg_timestamp,orders_last_month,payment_sum
9Stephens@Skyndu.edu,2,1423187182923224500,10,4369.54
sAnderson@Voonte.info,2,1448387871576446134,15,7036.54
gLong@Realbridge.name,1,1456440026480054153,11,6722.10
aut_laborum_labore@Tagopia.gov,1,1464015818743284313,6,2766.94
oCole@Voonix.net,2,1422085740234938730,3,3886.81
MildredFrazier@Myworks.org,2,1458160876943818068,4,3289.54
VirginiaRiley@Wordify.com,1,1451813063341465125,5,2544.79
yBurns@Photobug.gov,1,1408435107244188104,5,5273.45
HeatherBaker@Kanoodle.gov,1,1429190275842310951,10,8308.48
EricEdwards@Realpoint.gov,2,1428485858080446861,7,6995.26
9Andrews@Skyba.net,1,1407673379708543670,7,7687.41
hHunter@Geba.name,1,1443203028600334675,8,6965.24
nMartin@Voomm.info,2,1448387574975879280,3,2709.19
KathrynFowler@Wikivu.edu,2,1442286905186463451,3,1943.91
aperiam_atque@Buzzshare.net,2,1444704050043500982,1,272.55
oWillis@Demimbu.mil,2,1442980328511990797,7,3996.69
minima_quia_quibusdam@Meevee.info,2,1411569685333915336,10,7529.68
ScottSanchez@Edgeclub.mil,2,1448318051099144789,1,677.81
7Graham@Yamia.org,1,1412377574897965291,10,7839.64
eGarrett@Shuffletag.edu,1,1435202287396375809,5,3175.78
et_laboriosam@Kimia.biz,2,1422264673096179717,2,1746.52
enim_ullam_maxime@Edgeblab.net,1,1407552079455151994,12,10261.26
ShawnGutierrez@Wordify.biz,2,1405626193344023315,12,8713.91
jKelly@Centidel.name,1,1461903080667582638,4,4070.07
voluptas_porro_est@Oyoloo.org,2,1450795471187334688,7,5992.93
fAndrews@Eare.org,2,1408035354543627034,7,3600.74
8Martinez@Riffpath.com,2,1406504875937241294,1,784.62
AnnParker@Skimia.edu,2,1441357873422599218,2,1887.83
0Watson@Browsecat.edu,1,1433877454386635093,3,2126.09
5Harrison@Photobug.edu,2,1423326434119866487,8,9363.40
PhillipNguyen@Devbug.gov,1,1437883403921012717,3,2634.92
CarolWillis@Gabtune.name,1,1446862399400258488,7,4550.87
mBennett@BlogXS.net,1,1429902681228935504,2,1854.47
qui@Tambee.info,2,1426127334161528737,8,5168.05
